file_id,target_entity,condition,deepgram_transcript,deepgram_latency_s,deepgram_err,deepgram_wer,sarvam_transcript,sarvam_latency_s,sarvam_err,sarvam_wer,groq_whisper_transcript,groq_whisper_latency_s,groq_whisper_err,groq_whisper_wer
Kengeri.wav,Kengeri,Traffic,"Hello? Sir. Location pickup? Enger Metro, sir. Sir, sir.",3.082,False,0.9167,हेलो हाँ सर लोकेशन है ना पिकअप हेंगीरी मेट्रो है सर सर सर बर सर,1.738,False,1.25, ಹಲ್ಲೋ ಹಾ ಸರ್ ನೋಪ್ರಿಷ್ಣನ್ನು ಪೆಕ್ಕಪ್ಪು ಹೆಂಗಿರು ಮೆಟ್ರೋ ಸರ್ ಸರ್ಯು ಸರ್ಯು ಬರಿಸರು,1.318,False,1.0
Kormangala.wav,Koramangala,Traffic,Signal traffic time,2.527,False,0.7692,"हां, मैं अभी कोरमंगला सिग्नल पे खड़ा हूं। ट्रैफिक बहुत है, टाइम लगेगा सर।",1.446,False,1.0769, हां मैं अभी कोरमंगला सिग्नल पर कड़ा हूं ट्राफिक बहुत है टाइम लगेगा जाएगा,1.136,False,1.0769
Madiwala.wav,Madiwala,Clear,Sir Madhivala cross right line,3.262,False,0.8333,हाँ सर मणिवाला क्रॉस करने के बाद राइट लेना है ना सर,1.674,False,1.0, हाँ सर मड़ेवाला क्रॉस करने के बाद राइट लेना है ना सर,1.148,False,1.0
Malleshwaram.wav,Malleshwaram,Clear,Sir order drop door number,2.548,False,0.5455,सर ऑर्डर ड्रॉप करना मल्लू शर्म में डोर नंबर भी इस्तो,1.426,False,1.0," सर, order drop करना मल्ली शरम में door number 20 दो।",1.053,False,0.6364
Marathahalli.wav,Marathahalli,Clear,Marathali Bridge time,2.288,True,0.8,मारथाली ब्रिज के पास बहुत जाम है सर टाइम लगेगा,1.142,False,1.0," मारताली ब्रिज के पास बहुत जाम है सर, टाइम लगेगा",1.094,False,1.0
Peenya.wav,Peenya,Traffic,Hello,2.479,False,1.0,"हेलो, मैं अभी पीनिया इंडस्ट्रियल एरिया की साइड पे हूँ, आपका नाम है?",1.266,False,1.1818," हेलो, मैं अभी पीन या इंडेस्ट्रल एरिया की साइड पर हूँ, आप कहां होते हैं?",1.172,False,1.3636
Rajajinagar.wav,Rajajinagar,Traffic,"Hello, sir?",2.575,False,1.0,हेलो सर हाँ सर मैं राजाजीनगर मेट्रो स्टेशन मेट्रो स्टेशन के पास हूँ सर,1.698,False,1.0, अलो सर हाँ सर मैं राजाजी में कर मेट्रो सेशन हूँ मेट्रो सेशन के पास हूँ सर,1.26,False,1.2143
Shivaji nagar bus stand.wav,Shivaji Nagar Bus Stand,Traffic,Sir drop location sir,2.848,False,0.8947,"हां सर, ड्रॉप लोकेशन कहां है सर? शिवाजी नगर बस स्टैंड। ठीक है सर, मैं आता हूं दो मिनट।",1.375,False,1.0, कि आ सर ट्रॉप लोकेशन का है सर शिवाजी नगर बस्टैंड ठीक है सर मैं आता हूं दो मिनट अ,1.268,False,1.0526
Whitefield.wav,Whitefield,Traffic and loud music,"Sir, drop locationally. Whitefield. Sir, traffic",2.646,True,0.6,"हाँ सर, ड्रॉप लोकेशन एली? व्हाइट फील्ड आ? सर, ट्रैफिक है, होगला?",1.354,False,1.2, ಈ. ಈ. ಈ.,2.52,False,1.0
Yelahanka.wav,Yelahanka,Clear,Newton ponsynaemia adagandalaga rasta bahot karabay,3.289,False,0.9167,"ये लहंगा न्यूटन पहुँचने में आधा घंटा लगेगा, रास्ता बहुत खराब है।",1.508,False,1.0," यह लहांग का न्यूटान पहुंचन में आधा गंडा लगेगा, रास्ता बहुत कराब है।",1.707,False,1.0833
Yeshwantpur.wav,Yeshwantpur,Traffic,"Hello, sir?",2.66,False,0.95,"हेलो सर, हां सर, यशदपुर रेलवे स्टेशन के सामने हूं। वो प्लाटफॉर्म सिक्स वाला साइड। आप कहां हो सर?",1.372,False,1.0," Hello Sir Yes Sir, I am in front of the Yashantipur Railway Station That platform 6 side Where are you Sir?",1.175,False,0.85
